data,categoria,Qtd. Veículos
2021-01-01,Elétrico Puro,12871
2021-01-01,Híbrido Convencional,42759
2021-01-01,Híbrido Plug-in,1
2021-02-01,Elétrico Puro,13040
2021-02-01,Híbrido Convencional,43947
2021-02-01,Híbrido Plug-in,1
2021-03-01,Elétrico Puro,13243
2021-03-01,Híbrido Convencional,46538
2021-03-01,Híbrido Plug-in,1
2021-04-01,Elétrico Puro,13489
2021-04-01,Híbrido Convencional,48852
2021-04-01,Híbrido Plug-in,2
2021-05-01,Elétrico Puro,13820
2021-05-01,Híbrido Convencional,51592
2021-05-01,Híbrido Plug-in,2
2021-06-01,Elétrico Puro,14474
2021-06-01,Híbrido Convencional,55272
2021-06-01,Híbrido Plug-in,2
2021-07-01,Elétrico Puro,15024
2021-07-01,Híbrido Convencional,58243
2021-07-01,Híbrido Plug-in,1
2021-08-01,Elétrico Puro,15643
2021-08-01,Híbrido Convencional,61982
2021-08-01,Híbrido Plug-in,4
2021-09-01,Elétrico Puro,16421
2021-09-01,Híbrido Convencional,64423
2021-09-01,Híbrido Plug-in,8
2021-10-01,Elétrico Puro,17205
2021-10-01,Híbrido Convencional,66755
2021-10-01,Híbrido Plug-in,32
2021-11-01,Elétrico Puro,181110
2021-11-01,Híbrido Convencional,700860
2021-11-01,Híbrido Plug-in,880
2021-12-01,Elétrico Puro,21628
2021-12-01,Híbrido Convencional,75886
2021-12-01,Híbrido Plug-in,406
2022-01-01,Elétrico Puro,21628
2022-01-01,Híbrido Convencional,75886
2022-01-01,Híbrido Plug-in,406
2022-02-01,Elétrico Puro,23357
2022-02-01,Híbrido Convencional,78595
2022-02-01,Híbrido Plug-in,564
2022-03-01,Elétrico Puro,24987
2022-03-01,Híbrido Convencional,82867
2022-03-01,Híbrido Plug-in,706
2022-04-01,Elétrico Puro,26791
2022-04-01,Híbrido Convencional,84821
2022-04-01,Híbrido Plug-in,940
2022-05-01,Elétrico Puro,28612
2022-05-01,Híbrido Convencional,87912
2022-05-01,Híbrido Plug-in,1207
2022-06-01,Elétrico Puro,30867
2022-06-01,Híbrido Convencional,90168
2022-06-01,Híbrido Plug-in,1413
2022-07-01,Elétrico Puro,32674
2022-07-01,Híbrido Convencional,92653
2022-07-01,Híbrido Plug-in,1617
2022-08-01,Elétrico Puro,36064
2022-08-01,Híbrido Convencional,96248
2022-08-01,Híbrido Plug-in,1758
2022-09-01,Elétrico Puro,39725
2022-09-01,Híbrido Convencional,101578
2022-09-01,Híbrido Plug-in,2059
2022-10-01,Elétrico Puro,41627
2022-10-01,Híbrido Convencional,105324
2022-10-01,Híbrido Plug-in,2322
2022-11-01,Elétrico Puro,44260
2022-11-01,Híbrido Convencional,109028
2022-11-01,Híbrido Plug-in,2559
2022-12-01,Elétrico Puro,46700
2022-12-01,Híbrido Convencional,113574
2022-12-01,Híbrido Plug-in,2907
2023-01-01,Elétrico Puro,49280
2023-01-01,Híbrido Convencional,117645
2023-01-01,Híbrido Plug-in,3128
2023-02-01,Elétrico Puro,51572
2023-02-01,Híbrido Convencional,121502
2023-02-01,Híbrido Plug-in,3498
2023-03-01,Elétrico Puro,55367
2023-03-01,Híbrido Convencional,126192
2023-03-01,Híbrido Plug-in,4186
2023-04-01,Elétrico Puro,57951
2023-04-01,Híbrido Convencional,130947
2023-04-01,Híbrido Plug-in,4695
2023-05-01,Elétrico Puro,60386
2023-05-01,Híbrido Convencional,135716
2023-05-01,Híbrido Plug-in,5798
2023-06-01,Elétrico Puro,62810
2023-06-01,Híbrido Convencional,140809
2023-06-01,Híbrido Plug-in,6661
2023-07-01,Elétrico Puro,64968
2023-07-01,Híbrido Convencional,146782
2023-07-01,Híbrido Plug-in,7707
2023-08-01,Elétrico Puro,68462
2023-08-01,Híbrido Convencional,154246
2023-08-01,Híbrido Plug-in,9185
2023-09-01,Elétrico Puro,72458
2023-09-01,Híbrido Convencional,159181
2023-09-01,Híbrido Plug-in,10532
2023-10-01,Elétrico Puro,77987
2023-10-01,Híbrido Convencional,165310
2023-10-01,Híbrido Plug-in,11720
2023-11-01,Elétrico Puro,84034
2023-11-01,Híbrido Convencional,173208
2023-11-01,Híbrido Plug-in,12962
2023-12-01,Elétrico Puro,94113
2023-12-01,Híbrido Convencional,181788
2023-12-01,Híbrido Plug-in,15188
2024-01-01,Elétrico Puro,101070
2024-01-01,Híbrido Convencional,187641
2024-01-01,Híbrido Plug-in,15835
2024-02-01,Elétrico Puro,106497
2024-02-01,Híbrido Convencional,195731
2024-02-01,Híbrido Plug-in,16996
2024-03-01,Elétrico Puro,116639
2024-03-01,Híbrido Convencional,201879
2024-03-01,Híbrido Plug-in,18024
2024-04-01,Elétrico Puro,124503
2024-04-01,Híbrido Convencional,208326
2024-04-01,Híbrido Plug-in,19050
2024-05-01,Elétrico Puro,131475
2024-05-01,Híbrido Convencional,217038
2024-05-01,Híbrido Plug-in,20788
2024-06-01,Elétrico Puro,137071
2024-06-01,Híbrido Convencional,225130
2024-06-01,Híbrido Plug-in,23017
2024-07-01,Elétrico Puro,151593
2024-07-01,Híbrido Convencional,237804
2024-07-01,Híbrido Plug-in,25339
2024-08-01,Elétrico Puro,157578
2024-08-01,Híbrido Convencional,244813
2024-08-01,Híbrido Plug-in,27147
2024-09-01,Elétrico Puro,165186
2024-09-01,Híbrido Convencional,253321
2024-09-01,Híbrido Plug-in,28894
2024-10-01,Elétrico Puro,171559
2024-10-01,Híbrido Convencional,261317
2024-10-01,Híbrido Plug-in,30638
2024-11-01,Elétrico Puro,178996
2024-11-01,Híbrido Convencional,274656
2024-11-01,Híbrido Plug-in,32827
2024-12-01,Elétrico Puro,187599
2024-12-01,Híbrido Convencional,291501
2024-12-01,Híbrido Plug-in,35944
2025-01-01,Elétrico Puro,191380
2025-01-01,Híbrido Convencional,299978
2025-01-01,Híbrido Plug-in,37473
2025-02-01,Elétrico Puro,196541
2025-02-01,Híbrido Convencional,308837
2025-02-01,Híbrido Plug-in,39105
2025-03-01,Elétrico Puro,201441
2025-03-01,Híbrido Convencional,328150
2025-03-01,Híbrido Plug-in,40861
2025-04-01,Elétrico Puro,207961
2025-04-01,Híbrido Convencional,337144
2025-04-01,Híbrido Plug-in,42832
2025-05-01,Elétrico Puro,217036
2025-05-01,Híbrido Convencional,345285
2025-05-01,Híbrido Plug-in,45240
2025-06-01,Elétrico Puro,225463
2025-06-01,Híbrido Convencional,359856
2025-06-01,Híbrido Plug-in,47538
2025-07-01,Elétrico Puro,235743
2025-07-01,Híbrido Convencional,377736
2025-07-01,Híbrido Plug-in,49766
2025-08-01,Elétrico Puro,246229
2025-08-01,Híbrido Convencional,394359
2025-08-01,Híbrido Plug-in,52259
2025-09-01,Elétrico Puro,255930
2025-09-01,Híbrido Convencional,411480
2025-09-01,Híbrido Plug-in,54783
2025-10-01,Elétrico Puro,263117
2025-10-01,Híbrido Convencional,438938
2025-10-01,Híbrido Plug-in,60117
2025-11-01,Elétrico Puro,275996
2025-11-01,Híbrido Convencional,456337
2025-11-01,Híbrido Plug-in,62813
2025-12-01,Elétrico Puro,288492
2025-12-01,Híbrido Convencional,481225
2025-12-01,Híbrido Plug-in,66434
